Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-15-00000235-50-26.12.31-SECD-23FF45EE;00000235;;;;;;
M-15-00000236-50-26.12.31-SECD-23FF45EE;00000236;;;;;;
M-15-00000237-50-26.12.31-SECD-23FF45EE;00000237;;;;;;
M-15-00000238-50-26.12.31-SECD-23FF45EE;00000238;;;;;;
M-15-00000239-50-26.12.31-SECD-23FF45EE;00000239;;;;;;
M-15-00000240-50-26.12.31-SECD-23FF45EE;00000240;;;;;;
M-15-00000241-50-26.12.31-SECD-23FF45EE;00000241;;;;;;
M-15-00000242-50-26.12.31-SECD-23FF45EE;00000242;;;;;;
M-15-00000243-50-26.12.31-SECD-23FF45EE;00000243;;;;;;
M-15-00000244-50-26.12.31-SECD-23FF45EE;00000244;;;;;;
M-15-00000245-50-26.12.31-SECD-23FF45EE;00000245;;;;;;
M-15-00000246-50-26.12.31-SECD-23FF45EE;00000246;;;;;;
M-15-00000247-50-26.12.31-SECD-23FF45EE;00000247;;;;;;
M-15-00000248-50-26.12.31-SECD-23FF45EE;00000248;;;;;;
M-15-00000249-50-26.12.31-SECD-23FF45EE;00000249;;;;;;
M-15-00000250-50-26.12.31-SECD-23FF45EE;00000250;;;;;;
M-15-00000251-50-26.12.31-SECD-23FF45EE;00000251;;;;;;
M-15-00000252-50-26.12.31-SECD-23FF45EE;00000252;;;;;;
M-15-00000253-50-26.12.31-SECD-23FF45EE;00000253;;;;;;
M-15-00000254-50-26.12.31-SECD-23FF45EE;00000254;;;;;;
M-15-00000255-50-26.12.31-SECD-23FF45EE;00000255;;;;;;
M-15-00000256-50-26.12.31-SECD-23FF45EE;00000256;;;;;;
M-15-00000257-50-26.12.31-SECD-23FF45EE;00000257;;;;;;
M-15-00000258-50-26.12.31-SECD-23FF45EE;00000258;;;;;;
M-15-00000259-50-26.12.31-SECD-23FF45EE;00000259;;;;;;
M-15-00000260-50-26.12.31-SECD-23FF45EE;00000260;;;;;;
M-15-00000261-50-26.12.31-SECD-23FF45EE;00000261;;;;;;
M-15-00000262-50-26.12.31-SECD-23FF45EE;00000262;;;;;;
M-15-00000263-50-26.12.31-SECD-23FF45EE;00000263;;;;;;
M-15-00000264-50-26.12.31-SECD-23FF45EE;00000264;;;;;;
M-15-00000265-50-26.12.31-SECD-23FF45EE;00000265;;;;;;
M-15-00000266-50-26.12.31-SECD-23FF45EE;00000266;;;;;;
M-15-00000267-50-26.12.31-SECD-23FF45EE;00000267;;;;;;
M-15-00000268-50-26.12.31-SECD-23FF45EE;00000268;;;;;;
M-15-00000269-50-26.12.31-SECD-23FF45EE;00000269;;;;;;
M-15-00000270-50-26.12.31-SECD-23FF45EE;00000270;;;;;;
M-15-00000271-50-26.12.31-SECD-23FF45EE;00000271;;;;;;
M-15-00000272-50-26.12.31-SECD-23FF45EE;00000272;;;;;;
M-15-00000273-50-26.12.31-SECD-23FF45EE;00000273;;;;;;
M-15-00000274-50-26.12.31-SECD-23FF45EE;00000274;;;;;;
M-15-00000275-50-26.12.31-SECD-23FF45EE;00000275;;;;;;
M-15-00000276-50-26.12.31-SECD-23FF45EE;00000276;;;;;;
M-15-00000277-50-26.12.31-SECD-23FF45EE;00000277;;;;;;
M-15-00000278-50-26.12.31-SECD-23FF45EE;00000278;;;;;;
M-15-00000279-50-26.12.31-SECD-23FF45EE;00000279;;;;;;
M-15-00000280-50-26.12.31-SECD-23FF45EE;00000280;;;;;;
M-15-00000281-50-26.12.31-SECD-23FF45EE;00000281;;;;;;
M-15-00000282-50-26.12.31-SECD-23FF45EE;00000282;;;;;;
M-15-00000283-50-26.12.31-SECD-23FF45EE;00000283;;;;;;
