Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-1-00000118-50-26.12.31-SECD-23FF45EE;00000118;;;;;;
M-1-00000119-50-26.12.31-SECD-23FF45EE;00000119;;;;;;
M-1-00000120-50-26.12.31-SECD-23FF45EE;00000120;;;;;;
M-1-00000121-50-26.12.31-SECD-23FF45EE;00000121;;;;;;
M-1-00000122-50-26.12.31-SECD-23FF45EE;00000122;;;;;;
M-1-00000123-50-26.12.31-SECD-23FF45EE;00000123;;;;;;
M-1-00000124-50-26.12.31-SECD-23FF45EE;00000124;;;;;;
M-1-00000125-50-26.12.31-SECD-23FF45EE;00000125;;;;;;
M-1-00000126-50-26.12.31-SECD-23FF45EE;00000126;;;;;;
M-1-00000127-50-26.12.31-SECD-23FF45EE;00000127;;;;;;
M-1-00000128-50-26.12.31-SECD-23FF45EE;00000128;;;;;;
M-1-00000129-50-26.12.31-SECD-23FF45EE;00000129;;;;;;
M-1-00000130-50-26.12.31-SECD-23FF45EE;00000130;;;;;;
M-1-00000131-50-26.12.31-SECD-23FF45EE;00000131;;;;;;
M-1-00000132-50-26.12.31-SECD-23FF45EE;00000132;;;;;;
M-1-00000133-50-26.12.31-SECD-23FF45EE;00000133;;;;;;
M-1-00000134-50-26.12.31-SECD-23FF45EE;00000134;;;;;;
M-1-00000135-50-26.12.31-SECD-23FF45EE;00000135;;;;;;
M-1-00000136-50-26.12.31-SECD-23FF45EE;00000136;;;;;;
M-1-00000137-50-26.12.31-SECD-23FF45EE;00000137;;;;;;
M-1-00000138-50-26.12.31-SECD-23FF45EE;00000138;;;;;;
M-1-00000139-50-26.12.31-SECD-23FF45EE;00000139;;;;;;
M-1-00000140-50-26.12.31-SECD-23FF45EE;00000140;;;;;;
M-1-00000141-50-26.12.31-SECD-23FF45EE;00000141;;;;;;
M-1-00000142-50-26.12.31-SECD-23FF45EE;00000142;;;;;;
M-1-00000143-50-26.12.31-SECD-23FF45EE;00000143;;;;;;
M-1-00000144-50-26.12.31-SECD-23FF45EE;00000144;;;;;;
M-1-00000145-50-26.12.31-SECD-23FF45EE;00000145;;;;;;
M-1-00000146-50-26.12.31-SECD-23FF45EE;00000146;;;;;;
M-1-00000147-50-26.12.31-SECD-23FF45EE;00000147;;;;;;
M-1-00000148-50-26.12.31-SECD-23FF45EE;00000148;;;;;;
M-1-00000149-50-26.12.31-SECD-23FF45EE;00000149;;;;;;
M-1-00000150-50-26.12.31-SECD-23FF45EE;00000150;;;;;;
M-1-00000151-50-26.12.31-SECD-23FF45EE;00000151;;;;;;
M-1-00000152-50-26.12.31-SECD-23FF45EE;00000152;;;;;;
M-1-00000153-50-26.12.31-SECD-23FF45EE;00000153;;;;;;
M-1-00000154-50-26.12.31-SECD-23FF45EE;00000154;;;;;;
M-1-00000155-50-26.12.31-SECD-23FF45EE;00000155;;;;;;
M-1-00000156-50-26.12.31-SECD-23FF45EE;00000156;;;;;;
M-1-00000157-50-26.12.31-SECD-23FF45EE;00000157;;;;;;
M-1-00000158-50-26.12.31-SECD-23FF45EE;00000158;;;;;;
M-1-00000159-50-26.12.31-SECD-23FF45EE;00000159;;;;;;
M-1-00000160-50-26.12.31-SECD-23FF45EE;00000160;;;;;;
M-1-00000161-50-26.12.31-SECD-23FF45EE;00000161;;;;;;
M-1-00000162-50-26.12.31-SECD-23FF45EE;00000162;;;;;;
M-1-00000163-50-26.12.31-SECD-23FF45EE;00000163;;;;;;
M-1-00000164-50-26.12.31-SECD-23FF45EE;00000164;;;;;;
M-1-00000165-50-26.12.31-SECD-23FF45EE;00000165;;;;;;
